"marked","head_id","tail_id","id","head","tail","relation"
"<tail>三藏</tail>道：“<head>悟空</head>，你想有些耳闭？","id_6","id_1",4151.0,"孙悟空","唐僧","apprentice"
"<head>大圣</head>，你若不保<tail>唐僧</tail>，不尽勤劳，不受教诲，到底是个妖仙，休想得成正果。”","id_6","id_1",4261.0,"孙悟空","唐僧","apprentice"
"<tail>大圣</tail>，你若不保<head>唐僧</head>，不尽勤劳，不受教诲，到底是个妖仙，休想得成正果。”","id_1","id_6",4261.0,"唐僧","孙悟空","master"
"菩萨道：“<head>孙悟空</head>，你怎么不受教诲，不保<tail>唐僧</tail>，来此处何干？”","id_6","id_1",4268.0,"孙悟空","唐僧","apprentice"
"菩萨道：“<tail>孙悟空</tail>，你怎么不受教诲，不保<head>唐僧</head>，来此处何干？”","id_1","id_6",4268.0,"唐僧","孙悟空","master"
"<head>三藏</head>在马上，遥闻唿喇喇水声聒耳，回头叫：“<tail>悟空</tail>，是那里水响？”","id_1","id_6",4337.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>在马上，遥闻唿喇喇水声聒耳，回头叫：“<head>悟空</head>，是那里水响？”","id_6","id_1",4337.0,"孙悟空","唐僧","apprentice"
"“孙<head>大圣</head>莫恼，<tail>唐御弟</tail>休哭。","id_6","id_1",4372.0,"孙悟空","唐僧","apprentice"
"“孙<tail>大圣</tail>莫恼，<head>唐御弟</head>休哭。","id_1","id_6",4372.0,"唐僧","孙悟空","master"
"却说那龙吃了<head>三藏</head>的<tail>白马</tail>，伏在那涧底中间，潜灵养性。","id_1","id_21",4386.0,"唐僧","白龙马","master"
"却说那龙吃了<tail>三藏</tail>的<head>白马</head>，伏在那涧底中间，潜灵养性。","id_21","id_1",4386.0,"白龙马","唐僧","apprentice"
"揭谛道：“<head>唐僧</head>在蛇盘山鹰愁陡涧失了马，急得孙<tail>大圣</tail>进退两难。","id_1","id_6",4451.0,"唐僧","孙悟空","master"
"揭谛道：“<tail>唐僧</tail>在蛇盘山鹰愁陡涧失了马，急得孙<head>大圣</head>进退两难。","id_6","id_1",4451.0,"孙悟空","唐僧","apprentice"
"菩萨叫揭谛道：“你去涧边叫一声‘<head>敖闰</head>龙王<tail>玉龙三太子</tail>，你出来，有南海菩萨在此。","id_25","id_21",4485.0,"西海龙王","白龙马","father"
"菩萨教<head>悟空</head>领他去见<tail>三藏</tail>，“我回海上去也。”","id_6","id_1",4503.0,"孙悟空","唐僧","apprentice"
"菩萨教<tail>悟空</tail>领他去见<head>三藏</head>，“我回海上去也。”","id_1","id_6",4503.0,"唐僧","孙悟空","master"
"这行者才按落云头，揪着那<head>龙马</head>的顶鬃，来见<tail>三藏</tail>道：“师父，马有了也。”","id_21","id_1",4519.0,"白龙马","唐僧","apprentice"
"这行者才按落云头，揪着那<tail>龙马</tail>的顶鬃，来见<head>三藏</head>道：“师父，马有了也。”","id_1","id_21",4519.0,"唐僧","白龙马","master"
"<head>三藏</head>道：“<tail>悟空</tail>，前面人家，可以借宿，明早再行。”","id_1","id_6",4561.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>道：“<head>悟空</head>，前面人家，可以借宿，明早再行。”","id_6","id_1",4561.0,"孙悟空","唐僧","apprentice"
"你看他只管朝天磕头，也不计其数，路旁边活活的笑倒个孙<head>大圣</head>，孜孜的喜坏个美猴王，上前来扯住<tail>唐僧</tail>道：“师父，你起来罢，他已去得远了，听不见你祷祝，看不见你磕头。","id_6","id_1",4622.0,"孙悟空","唐僧","apprentice"
"你看他只管朝天磕头，也不计其数，路旁边活活的笑倒个孙<tail>大圣</tail>，孜孜的喜坏个美猴王，上前来扯住<head>唐僧</head>道：“师父，你起来罢，他已去得远了，听不见你祷祝，看不见你磕头。","id_1","id_6",4622.0,"唐僧","孙悟空","master"
"你看他只管朝天磕头，也不计其数，路旁边活活的笑倒个孙大圣，孜孜的喜坏个<head>美猴王</head>，上前来扯住<tail>唐僧</tail>道：“师父，你起来罢，他已去得远了，听不见你祷祝，看不见你磕头。","id_6","id_1",4622.0,"孙悟空","唐僧","apprentice"
"你看他只管朝天磕头，也不计其数，路旁边活活的笑倒个孙大圣，孜孜的喜坏个<tail>美猴王</tail>，上前来扯住<head>唐僧</head>道：“师父，你起来罢，他已去得远了，听不见你祷祝，看不见你磕头。","id_1","id_6",4622.0,"唐僧","孙悟空","master"
"<head>三藏</head>道：“<tail>悟空</tail>，你看那里是甚么去处？”","id_1","id_6",4635.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>道：“<head>悟空</head>，你看那里是甚么去处？”","id_6","id_1",4635.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>欣然从之，放开<tail>龙马</tail>，径奔前来。","id_1","id_21",4638.0,"唐僧","白龙马","master"
"<tail>三藏</tail>欣然从之，放开<head>龙马</head>，径奔前来。","id_21","id_1",4638.0,"白龙马","唐僧","apprentice"
"行者拿了，按着云头，径到禅堂房脊上，罩住了<head>唐僧</head>与<tail>白马</tail>、行李，他却去那后面老和尚住的方丈房上头坐，着意保护那袈裟。","id_1","id_21",4842.0,"唐僧","白龙马","master"
"行者拿了，按着云头，径到禅堂房脊上，罩住了<tail>唐僧</tail>与<head>白马</head>、行李，他却去那后面老和尚住的方丈房上头坐，着意保护那袈裟。","id_21","id_1",4842.0,"白龙马","唐僧","apprentice"
"你老外公乃大唐上国驾前御弟<head>三藏</head>法师之徒弟，姓孙，名<tail>悟空</tail>行者。","id_1","id_6",5060.0,"唐僧","孙悟空","master"
"你老外公乃大唐上国驾前御弟<tail>三藏</tail>法师之徒弟，姓孙，名<head>悟空</head>行者。","id_6","id_1",5060.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>道：“<tail>悟空</tail>你来了，袈裟如何？”","id_1","id_6",5102.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>道：“<head>悟空</head>你来了，袈裟如何？”","id_6","id_1",5102.0,"孙悟空","唐僧","apprentice"
"下请书的小校，被<head>孙行者</head>打死在大路旁边，他绰着经儿变化做金池<tail>长老</tail>，来骗佛衣也！”","id_6","id_1",5166.0,"孙悟空","唐僧","apprentice"
"下请书的小校，被<tail>孙行者</tail>打死在大路旁边，他绰着经儿变化做金池<head>长老</head>，来骗佛衣也！”","id_1","id_6",5166.0,"唐僧","孙悟空","master"
"菩萨若要依得我时，我好替你作个计较，也就不须动得干戈，也不须劳得征战，妖魔眼下遭瘟，佛衣眼下出现；菩萨要不依我时，菩萨往西，我<head>悟空</head>往东，佛衣只当相送，<tail>唐三藏</tail>只当落空。”","id_6","id_1",5281.0,"孙悟空","唐僧","apprentice"
"菩萨若要依得我时，我好替你作个计较，也就不须动得干戈，也不须劳得征战，妖魔眼下遭瘟，佛衣眼下出现；菩萨要不依我时，菩萨往西，我<tail>悟空</tail>往东，佛衣只当相送，<head>唐三藏</head>只当落空。”","id_1","id_6",5281.0,"唐僧","孙悟空","master"
"<head>三藏</head>接了袈裟道：“<tail>悟空</tail>，你早间去时，原约到饭罢晌午，如何此时日西方回？”","id_1","id_6",5357.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>接了袈裟道：“<head>悟空</head>，你早间去时，原约到饭罢晌午，如何此时日西方回？”","id_6","id_1",5357.0,"孙悟空","唐僧","apprentice"
"这行者见请，才牵了<head>白马</head>，教高才挑着行李，与<tail>三藏</tail>进去。","id_21","id_1",5392.0,"白龙马","唐僧","apprentice"
"这行者见请，才牵了<tail>白马</tail>，教高才挑着行李，与<head>三藏</head>进去。","id_1","id_21",5392.0,"唐僧","白龙马","master"
"<head>三藏</head>问道：“<tail>悟空</tail>，你去这一夜，拿得妖精在那里？”","id_1","id_6",5571.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>问道：“<head>悟空</head>，你去这一夜，拿得妖精在那里？”","id_6","id_1",5571.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>道：“<tail>悟空</tail>，你既是与他做了一场，一发与他做个竭绝，才见始终。”","id_1","id_6",5591.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>道：“<head>悟空</head>，你既是与他做了一场，一发与他做个竭绝，才见始终。”","id_6","id_1",5591.0,"孙悟空","唐僧","apprentice"
"拜罢，<head>三藏</head>上厅高坐，教：“<tail>悟空</tail>放了他绳。”","id_1","id_6",5673.0,"唐僧","孙悟空","master"
"拜罢，<tail>三藏</tail>上厅高坐，教：“<head>悟空</head>放了他绳。”","id_6","id_1",5673.0,"孙悟空","唐僧","apprentice"
"你师兄叫做<head>悟空</head>，你叫做<tail>悟能</tail>，其实是我法门中的宗派。”","id_6","id_16",5681.0,"孙悟空","猪八戒","elder_brother_with_the_same_master"
"你师兄叫做<tail>悟空</tail>，你叫做<head>悟能</head>，其实是我法门中的宗派。”","id_16","id_6",5681.0,"猪八戒","孙悟空","younger_brother_with_the_same_master"
"背了<head>白马</head>，<tail>三藏</tail>骑着；行者肩担铁棒，前面引路。","id_21","id_1",5706.0,"白龙马","唐僧","apprentice"
"背了<tail>白马</tail>，<head>三藏</head>骑着；行者肩担铁棒，前面引路。","id_1","id_21",5706.0,"唐僧","白龙马","master"
"<head>三藏</head>停鞭勒马道：“<tail>悟空</tail>、悟能、前面山高，须索仔细，仔细。”","id_1","id_6",5714.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>停鞭勒马道：“<head>悟空</head>、悟能、前面山高，须索仔细，仔细。”","id_6","id_1",5714.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>停鞭勒马道：“悟空、<tail>悟能</tail>、前面山高，须索仔细，仔细。”","id_1","id_16",5714.0,"唐僧","猪八戒","master"
"<tail>三藏</tail>停鞭勒马道：“悟空、<head>悟能</head>、前面山高，须索仔细，仔细。”","id_16","id_1",5714.0,"猪八戒","唐僧","apprentice"
"三藏停鞭勒马道：“<head>悟空</head>、<tail>悟能</tail>、前面山高，须索仔细，仔细。”","id_6","id_16",5714.0,"孙悟空","猪八戒","elder_brother_with_the_same_master"
"三藏停鞭勒马道：“<tail>悟空</tail>、<head>悟能</head>、前面山高，须索仔细，仔细。”","id_16","id_6",5714.0,"猪八戒","孙悟空","younger_brother_with_the_same_master"
"<head>三藏</head>道：“他是我的大徒弟<tail>孙悟空</tail>。”","id_1","id_6",5739.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>道：“他是我的大徒弟<head>孙悟空</head>。”","id_6","id_1",5739.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>见了，扯住行者道：“<tail>悟空</tail>，”","id_1","id_6",5783.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>见了，扯住行者道：“<head>悟空</head>，”","id_6","id_1",5783.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>道：“<tail>悟空</tail>，你看那日落西山藏火镜，月升东海现冰轮。","id_1","id_6",5810.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>道：“<head>悟空</head>，你看那日落西山藏火镜，月升东海现冰轮。","id_6","id_1",5810.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>闻之道：“<tail>悟能</tail>，你若是在家心重呵，不是个出家的了，你还回去罢。","id_1","id_16",5817.0,"唐僧","猪八戒","master"
"<tail>三藏</tail>闻之道：“<head>悟能</head>，你若是在家心重呵，不是个出家的了，你还回去罢。","id_16","id_1",5817.0,"猪八戒","唐僧","apprentice"
"早到了路旁人家门首，<head>三藏</head>下马，行者接了缰绳，<tail>八戒</tail>歇了行李，都伫立绿荫之下。","id_1","id_16",5825.0,"唐僧","猪八戒","master"
"早到了路旁人家门首，<tail>三藏</tail>下马，行者接了缰绳，<head>八戒</head>歇了行李，都伫立绿荫之下。","id_16","id_1",5825.0,"猪八戒","唐僧","apprentice"
"<head>三藏</head>道：“你看<tail>悟空</tail>说的话！","id_1","id_6",5880.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>道：“你看<head>悟空</head>说的话！","id_6","id_1",5880.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>就合掌讽起斋经，<tail>八戒</tail>早已吞了一碗。","id_1","id_16",5904.0,"唐僧","猪八戒","master"
"<tail>三藏</tail>就合掌讽起斋经，<head>八戒</head>早已吞了一碗。","id_16","id_1",5904.0,"猪八戒","唐僧","apprentice"
"<head>长老</head>的几句经还未了，那<tail>呆子</tail>又吃彀三碗。","id_1","id_16",5905.0,"唐僧","猪八戒","master"
"<tail>长老</tail>的几句经还未了，那<head>呆子</head>又吃彀三碗。","id_16","id_1",5905.0,"猪八戒","唐僧","apprentice"
"<head>三藏</head>、行者俱各吃不上两碗，<tail>呆子</tail>不住，便还吃哩。","id_1","id_16",5910.0,"唐僧","猪八戒","master"
"<tail>三藏</tail>、行者俱各吃不上两碗，<head>呆子</head>不住，便还吃哩。","id_16","id_1",5910.0,"猪八戒","唐僧","apprentice"
"那师父缓促银骢，孙<head>大圣</head>停云慢步，<tail>猪悟能</tail>磨担徐行。","id_6","id_16",5934.0,"孙悟空","猪八戒","elder_brother_with_the_same_master"
"那师父缓促银骢，孙<tail>大圣</tail>停云慢步，<head>猪悟能</head>磨担徐行。","id_16","id_6",5934.0,"猪八戒","孙悟空","younger_brother_with_the_same_master"
"正看那山，忽闻得一阵旋风大作，<head>三藏</head>在马上心惊道：“<tail>悟空</tail>，风起了！”","id_1","id_6",5935.0,"唐僧","孙悟空","master"
"正看那山，忽闻得一阵旋风大作，<tail>三藏</tail>在马上心惊道：“<head>悟空</head>，风起了！”","id_6","id_1",5935.0,"孙悟空","唐僧","apprentice"
"那洞主闻得此言，吃了一惊道：“我闻得前后有人传说：<head>三藏</head>法师乃大唐奉旨意取经的神僧，他手下有一个徒弟，名唤<tail>孙行者</tail>，神通广大，智力高强。","id_1","id_6",5994.0,"唐僧","孙悟空","master"
"那洞主闻得此言，吃了一惊道：“我闻得前后有人传说：<tail>三藏</tail>法师乃大唐奉旨意取经的神僧，他手下有一个徒弟，名唤<head>孙行者</head>，神通广大，智力高强。","id_6","id_1",5994.0,"孙悟空","唐僧","apprentice"
"这的是苦命<head>江流</head>思行者，遇难神僧想<tail>悟能</tail>，道声：“徒弟啊！","id_1","id_16",6005.0,"唐僧","猪八戒","master"
"这的是苦命<tail>江流</tail>思行者，遇难神僧想<head>悟能</head>，道声：“徒弟啊！","id_16","id_1",6005.0,"猪八戒","唐僧","apprentice"
"妖王发怒，要拿行者抵先锋；<head>大圣</head>施威，欲捉精灵救<tail>长老</tail>。","id_6","id_1",6132.0,"孙悟空","唐僧","apprentice"
"妖王发怒，要拿行者抵先锋；<tail>大圣</tail>施威，欲捉精灵救<head>长老</head>。","id_1","id_6",6132.0,"唐僧","孙悟空","master"
"那师父纷纷泪落，心心只念着<head>悟空</head>、<tail>悟能</tail>，不知都在何处。","id_6","id_16",6257.0,"孙悟空","猪八戒","elder_brother_with_the_same_master"
"那师父纷纷泪落，心心只念着<tail>悟空</tail>、<head>悟能</head>，不知都在何处。","id_16","id_6",6257.0,"猪八戒","孙悟空","younger_brother_with_the_same_master"
"那<head>长老</head>认得他的声音道：“<tail>悟空</tail>啊，想杀我也！","id_1","id_6",6259.0,"唐僧","孙悟空","master"
"那<tail>长老</tail>认得他的声音道：“<head>悟空</head>啊，想杀我也！","id_6","id_1",6259.0,"孙悟空","唐僧","apprentice"
"行者道：“累烦你老人家与我传答传答：我是东土大唐驾下御弟<head>三藏</head>法师的徒弟，<tail>齐天大圣</tail>孙悟空行者。","id_1","id_6",6322.0,"唐僧","孙悟空","master"
"行者道：“累烦你老人家与我传答传答：我是东土大唐驾下御弟<tail>三藏</tail>法师的徒弟，<head>齐天大圣</head>孙悟空行者。","id_6","id_1",6322.0,"孙悟空","唐僧","apprentice"
"行者道：“累烦你老人家与我传答传答：我是东土大唐驾下御弟<head>三藏</head>法师的徒弟，齐天大圣<tail>孙悟空</tail>行者。","id_1","id_6",6322.0,"唐僧","孙悟空","master"
"行者道：“累烦你老人家与我传答传答：我是东土大唐驾下御弟<tail>三藏</tail>法师的徒弟，齐天大圣<head>孙悟空</head>行者。","id_6","id_1",6322.0,"孙悟空","唐僧","apprentice"
"行者道：“你只说是<head>唐僧</head>徒弟<tail>孙悟空</tail>来了。”","id_1","id_6",6325.0,"唐僧","孙悟空","master"
"行者道：“你只说是<tail>唐僧</tail>徒弟<head>孙悟空</head>来了。”","id_6","id_1",6325.0,"孙悟空","唐僧","apprentice"
"却说那<head>大圣</head>保着<tail>唐僧</tail>，立于左右，眼巴巴的望着他两个在水上争持，只是他不好动手。","id_6","id_1",6419.0,"孙悟空","唐僧","apprentice"
"却说那<tail>大圣</tail>保着<head>唐僧</head>，立于左右，眼巴巴的望着他两个在水上争持，只是他不好动手。","id_1","id_6",6419.0,"唐僧","孙悟空","master"
"<head>八戒</head>嚷道：“你这<tail>弼马温</tail>，真是个急猴子！","id_16","id_6",6423.0,"猪八戒","孙悟空","younger_brother_with_the_same_master"
"<tail>八戒</tail>嚷道：“你这<head>弼马温</head>，真是个急猴子！","id_6","id_16",6423.0,"孙悟空","猪八戒","elder_brother_with_the_same_master"
"<head>八戒</head>却同行者到高岸上，见了<tail>三藏</tail>。","id_16","id_1",6429.0,"猪八戒","唐僧","apprentice"
"<tail>八戒</tail>却同行者到高岸上，见了<head>三藏</head>。","id_1","id_16",6429.0,"唐僧","猪八戒","master"
"次早，<head>三藏</head>道：“<tail>悟空</tail>，今日怎生区处？”","id_1","id_6",6443.0,"唐僧","孙悟空","master"
"次早，<tail>三藏</tail>道：“<head>悟空</head>，今日怎生区处？”","id_6","id_1",6443.0,"孙悟空","唐僧","apprentice"
"<head>三藏</head>道：“<tail>悟空</tail>，若是去请菩萨，却也不必迟疑，快去赶来。”","id_1","id_6",6511.0,"唐僧","孙悟空","master"
"<tail>三藏</tail>道：“<head>悟空</head>，若是去请菩萨，却也不必迟疑，快去赶来。”","id_6","id_1",6511.0,"孙悟空","唐僧","apprentice"
"菩萨即唤惠岸，袖中取出一个红葫芦儿，吩咐道：“你可将此葫芦，同<head>孙悟空</head>到流沙河水面上，只叫<tail>悟净</tail>，他就出来了。","id_6","id_20",6534.0,"孙悟空","沙僧","elder_brother_with_the_same_master"
"菩萨即唤惠岸，袖中取出一个红葫芦儿，吩咐道：“你可将此葫芦，同<tail>孙悟空</tail>到流沙河水面上，只叫<head>悟净</head>，他就出来了。","id_20","id_6",6534.0,"沙僧","孙悟空","younger_brother_with_the_same_master"
"那木叉与<head>三藏</head>礼毕，又与<tail>八戒</tail>相见。","id_1","id_16",6543.0,"唐僧","猪八戒","master"
"那木叉与<tail>三藏</tail>礼毕，又与<head>八戒</head>相见。","id_16","id_1",6543.0,"猪八戒","唐僧","apprentice"
"<head>悟净</head>看见了<tail>八戒</tail>道：“他不知是那里来的个泼物，与我整斗了这两日，何曾言着一个取经的字儿？”","id_20","id_16",6564.0,"沙僧","猪八戒","younger_brother_with_the_same_master"
"木叉道：“那是<head>猪八戒</head>，这是<tail>孙行者</tail>，俱是唐僧的徒弟，俱是菩萨劝化的，怕他怎的？","id_16","id_6",6567.0,"猪八戒","孙悟空","younger_brother_with_the_same_master"
"木叉道：“那是<tail>猪八戒</tail>，这是<head>孙行者</head>，俱是唐僧的徒弟，俱是菩萨劝化的，怕他怎的？","id_6","id_16",6567.0,"孙悟空","猪八戒","elder_brother_with_the_same_master"
"木叉道：“那是<head>猪八戒</head>，这是孙行者，俱是<tail>唐僧</tail>的徒弟，俱是菩萨劝化的，怕他怎的？","id_16","id_1",6567.0,"猪八戒","唐僧","apprentice"
"木叉道：“那是<tail>猪八戒</tail>，这是孙行者，俱是<head>唐僧</head>的徒弟，俱是菩萨劝化的，怕他怎的？","id_1","id_16",6567.0,"唐僧","猪八戒","master"
"木叉道：“那是猪八戒，这是<head>孙行者</head>，俱是<tail>唐僧</tail>的徒弟，俱是菩萨劝化的，怕他怎的？","id_6","id_1",6567.0,"孙悟空","唐僧","apprentice"
"木叉道：“那是猪八戒，这是<tail>孙行者</tail>，俱是<head>唐僧</head>的徒弟，俱是菩萨劝化的，怕他怎的？","id_1","id_6",6567.0,"唐僧","孙悟空","master"
"那<head>悟净</head>才收了宝杖，整一整黄锦直裰，跳上岸来，对<tail>唐僧</tail>双膝跪下道：“师父，弟子有眼无珠，不认得师父的尊容，多有冲撞，万望恕罪。”","id_20","id_1",6569.0,"沙僧","唐僧","apprentice"
"那<tail>悟净</tail>才收了宝杖，整一整黄锦直裰，跳上岸来，对<head>唐僧</head>双膝跪下道：“师父，弟子有眼无珠，不认得师父的尊容，多有冲撞，万望恕罪。”","id_1","id_20",6569.0,"唐僧","沙僧","master"
"又来拜了<head>三藏</head>，拜了行者与<tail>八戒</tail>，分了大小。","id_1","id_16",6578.0,"唐僧","猪八戒","master"
"又来拜了<tail>三藏</tail>，拜了行者与<head>八戒</head>，分了大小。","id_16","id_1",6578.0,"猪八戒","唐僧","apprentice"
"<head>三藏</head>见他行礼，真象个和尚家风，故又叫他做<tail>沙和尚</tail>。","id_1","id_20",6579.0,"唐僧","沙僧","master"
"<tail>三藏</tail>见他行礼，真象个和尚家风，故又叫他做<head>沙和尚</head>。","id_20","id_1",6579.0,"沙僧","唐僧","apprentice"
"左有<tail>八戒</tail>扶持，右有<head>悟净</head>捧托，孙行者在后面牵了龙马半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_20","id_16",6583.0,"沙僧","猪八戒","younger_brother_with_the_same_master"
"左有<head>八戒</head>扶持，右有悟净捧托，<tail>孙行者</tail>在后面牵了龙马半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_16","id_6",6583.0,"猪八戒","孙悟空","younger_brother_with_the_same_master"
"左有<tail>八戒</tail>扶持，右有悟净捧托，<head>孙行者</head>在后面牵了龙马半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_6","id_16",6583.0,"孙悟空","猪八戒","elder_brother_with_the_same_master"
"左有<head>八戒</head>扶持，右有悟净捧托，孙行者在后面牵了<tail>龙马</tail>半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_16","id_21",6583.0,"猪八戒","白龙马","elder_brother_with_the_same_master"
"左有<tail>八戒</tail>扶持，右有悟净捧托，孙行者在后面牵了<head>龙马</head>半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_21","id_16",6583.0,"白龙马","猪八戒","younger_brother_with_the_same_master"
"左有八戒扶持，右有<head>悟净</head>捧托，<tail>孙行者</tail>在后面牵了龙马半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_20","id_6",6583.0,"沙僧","孙悟空","younger_brother_with_the_same_master"
"左有八戒扶持，右有<tail>悟净</tail>捧托，<head>孙行者</head>在后面牵了龙马半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_6","id_20",6583.0,"孙悟空","沙僧","elder_brother_with_the_same_master"
"左有八戒扶持，右有<head>悟净</head>捧托，孙行者在后面牵了<tail>龙马</tail>半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_20","id_21",6583.0,"沙僧","白龙马","elder_brother_with_the_same_master"
"左有八戒扶持，右有<tail>悟净</tail>捧托，孙行者在后面牵了<head>龙马</head>半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_21","id_20",6583.0,"白龙马","沙僧","younger_brother_with_the_same_master"
"左有八戒扶持，右有悟净捧托，<head>孙行者</head>在后面牵了<tail>龙马</tail>半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_6","id_21",6583.0,"孙悟空","白龙马","elder_brother_with_the_same_master"
"左有八戒扶持，右有悟净捧托，<tail>孙行者</tail>在后面牵了<head>龙马</head>半云半雾相跟，头直上又有木叉拥护，那师父才飘然稳渡流沙河界，浪静风平过弱河。","id_21","id_6",6583.0,"白龙马","孙悟空","younger_brother_with_the_same_master"
"<head>长老</head>骂道：“<tail>悟空</tail>这泼猴，他把马儿惊了，早是我还骑得住哩！”","id_1","id_6",6642.0,"唐僧","孙悟空","master"
